year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Darrell Castle,castle,US President,statewide,TRUE,,total,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,P60021102,"CASTLE, DARRELL LANE",NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Jill Stein,stein,US President,statewide,TRUE,,total,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,P20003984,"STEIN, JILL",NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Evan McMullin,mcmullin,US President,statewide,TRUE,,total,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,P60022654,"MCMULLIN, EVAN / MINDY FINN",NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Laurence Kotlikoff,kotlikoff,US President,statewide,TRUE,,total,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Mike Maturen,maturen,US President,statewide,TRUE,,total,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Cherunda Fox,fox,US President,statewide,TRUE,,total,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,P60005303,"FOX, CHERUNDA LYNN",NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Stephen L. Allen,allen,US President,statewide,TRUE,,total,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Robert Buchanan,buchanan,US President,statewide,TRUE,,total,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,David C. Byrne,byrne,US President,statewide,TRUE,,total,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Loren Collins,collins,US President,statewide,TRUE,,total,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Scott Cubbler,cubbler,US President,statewide,TRUE,,total,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,P60023207,"CUBBLER, SCOTT RALSTON",NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Claire Elisabeth Elliott,elliott,US President,statewide,TRUE,,total,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,P80003643,"ELLIOTT, CLAIRE ELISABETH",NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Thomas Hoefling,hoefling,US President,statewide,TRUE,,total,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Ricky Muhammad,muhammad,US President,statewide,TRUE,,total,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Michael L. Smith,smith,US President,statewide,TRUE,,total,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,P60014198,"SMITH, RYAN",NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Marc Urbach,urbach,US President,statewide,TRUE,,total,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,Write-ins,Sandra Wilson,wilson,US President,statewide,TRUE,,total,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,P60007515,"WILSON, WILLIE",NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,035 Cates D - 04,Hillary Clinton,clinton,US President,statewide,FALSE,,election day,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,035 Cates D - 04,Hillary Clinton,clinton,US President,statewide,FALSE,,absentee by mail,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,035 Cates D - 04,Hillary Clinton,clinton,US President,statewide,FALSE,,advance in person,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,035 Cates D - 04,Hillary Clinton,clinton,US President,statewide,FALSE,,provisional,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",NA,NA,NA,NA
2016,gen,FALSE,Georgia,GA,13,44,Gwinnett County,13135,1688166,33.959146,-84.023087,Gwinnett,035 Cates D - 04,Gary Johnson,johnson,US President,statewide,FALSE,,election day,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,P60012234,"JOHNSON, JOHN FITZGERALD MR.",NA,NA,NA,NA
